正面,背面,难度因子,间隔天数,连续答对,下次到期
设 z = x^2 y + sin(xy)，求 ∂z/∂x 与 ∂z/∂y。,（暂无解析）,2.5,0,0,2026-09-19
设 z = x^2 y + sin(xy)，求 ∂z/∂x 与 ∂z/∂y。,（暂无解析）,2.5,0,0,2026-09-19
carrier,运输工具， 运载工具； 带菌者； 载重架， 置物架,2.5,0,0,2026-09-19
suspect,可疑的， 不信任的；疑有；推测；对…表示怀疑；嫌疑犯，可疑分子,2.5,0,0,2026-09-19
sector,部门， 部分； 防御地段， 防区； 扇形,2.5,0,0,2026-09-19
pump,泵；抽， 泵送， 打气,2.5,0,0,2026-09-19
whilst,当…的时候,2.5,0,0,2026-09-19
considerable,相当大的； 重要的,2.5,0,0,2026-09-19
postpone,延迟， 延期,2.5,0,0,2026-09-19
directly,直接地； 正好地， 截然； 立即,2.5,0,0,2026-09-19
sufficient,足够的， 充分的,2.5,0,0,2026-09-19
recommendation,推荐， 推荐信； 建议； 优点， 可取之处,2.5,0,0,2026-09-19
lump,结块； 将…归并在一起；块，肿块,2.5,0,0,2026-09-19
mainland,大陆,2.5,0,0,2026-09-19
plastic,塑料的；可塑的；塑料， 塑料制品； 信用卡,2.5,0,0,2026-09-19
kingdom,王国； 领域； 界,2.5,0,0,2026-09-19
original,最初的；新颖的；原版的；原件， 原作,2.5,0,0,2026-09-19
territory,领土， 版图； 领域,2.5,0,0,2026-09-19
Negro,黑人,2.5,0,0,2026-09-19
graceful,优美的， 优雅的； 得体的,2.5,0,0,2026-09-19
resistance,反抗， 抵制； 抵抗力， 抵抗性； 阻力； 电阻,2.5,0,0,2026-09-19
boost,提高，使增长；推动，激励；替…做广告，宣扬；提高， 增长； 推动， 激励,2.5,0,0,2026-09-19
dot,点，圆点；打点于,2.5,0,0,2026-09-19
action,行动； 已做的事； 作用， 功能； 情节,2.5,0,0,2026-09-19
hook,钩住；钩，挂钩,2.5,0,0,2026-09-19
peculiar,奇怪的， 古怪的； 特有的,2.5,0,0,2026-09-19
clay,黏土， 泥土； 肉体,2.5,0,0,2026-09-19
document,公文，文件；证件；用文件等证明,2.5,0,0,2026-09-19
bathe,洗澡； 游泳,2.5,0,0,2026-09-19
pillow,枕头,2.5,0,0,2026-09-19
reservation,预订； 保留； 犹豫； 保留地,2.5,0,0,2026-09-19
nuisance,讨厌的东西,2.5,0,0,2026-09-19
observation,注意， 观察； 言论， 评论； 观察资料,2.5,0,0,2026-09-19
gradual,逐渐的， 渐进的； 坡度平缓的,2.5,0,0,2026-09-19
hire,租用； 雇用,2.5,0,0,2026-09-19
region,地区， 地带， 区域； 范围， 幅度,2.5,0,0,2026-09-19
reluctant,不情愿的， 勉强的,2.5,0,0,2026-09-19
copper,铜； 铜币， 铜制器,2.5,0,0,2026-09-19
keyboard,键盘,2.5,0,0,2026-09-19
contrast,形成对比， 对比之下显出区别；对比， 对照； 反差；对比，对照,2.5,0,0,2026-09-19
welfare,幸福； 福利， 福利救济,2.5,0,0,2026-09-19
ancestor,祖宗， 祖先； 原型； 先驱,2.5,0,0,2026-09-19
profit,受益；益处；利润，收益；有益于，有利于,2.5,0,0,2026-09-19
cruise,航游，巡航；缓慢巡行；航游， 游弋,2.5,0,0,2026-09-19
dairy,乳制品的；牛奶场；乳制品,2.5,0,0,2026-09-19
carpenter,木工， 木匠,2.5,0,0,2026-09-19
absence,缺席， 不在； 缺席的时间， 外出期； 缺乏， 不存在,2.5,0,0,2026-09-19
rub,擦， 摩擦,2.5,0,0,2026-09-19
erect,竖直的， 垂直的；建造；使竖立,2.5,0,0,2026-09-19
engage,使从事； 聘用； 吸引； 占用； 使订婚,2.5,0,0,2026-09-19
confident,确信的， 肯定的； 自信的,2.5,0,0,2026-09-19
providing,倘若,2.5,0,0,2026-09-19
